Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Current_Stock,Reorder_Level,Maximum_Stock,Unit_Price,Warehouse,Critical_Medicine
BATCH-0017,Metoprolol,Beta-blocker,CardioMed,2024-10-18,2026-09-17,478.0,126.0,348,93.3,WH-South,No
BATCH-0018,Metformin,Antidiabetic,DiabetesCare,2025-10-26,2026-10-06,491.0,185.0,532,52.0,WH-North,No
BATCH-0019,Ibuprofen,Analgesic,MediServe,2025-04-08,2026-10-11,268.0,128.0,237,132.31,WH-North,No
BATCH-0020,Ibuprofen,Analgesic,MediServe,2024-11-27,2026-10-05,32.0,186.0,492,100.66,WH-West,No
BATCH-0021,Penicillin,Antibiotic,PharmaCorp,2024-09-30,2026-09-20,604.0,158.0,465,114.51,WH-South,Yes
BATCH-0022,Clopidogrel,Antiplatelet,CardioMed,2025-02-10,2026-09-21,445.0,145.0,312,70.47,WH-South,No
BATCH-0023,Amoxicillin,Antibiotic,MediServe,2025-04-06,2026-09-14,247.0,191.0,352,6.04,WH-North,No
BATCH-0024,Amoxicillin,Antibiotic,MediServe,2026-02-14,2026-09-14,190.0,68.0,154,102.0,WH-South,No
BATCH-0025,Atorvastatin,Cholesterol,CardioMed,2024-11-21,2026-09-16,268.0,171.0,463,18.68,WH-East,No
BATCH-0026,Metformin,Antidiabetic,DiabetesCare,2025-02-02,2026-09-25,145.0,63.0,158,19.27,WH-East,No
BATCH-0027,Clopidogrel,Antiplatelet,CardioMed,2025-12-05,2026-09-22,133.0,98.0,225,66.17,WH-Central,No
BATCH-0028,Omeprazole,Gastric,GutHealth,2026-01-05,2026-09-19,273.0,190.0,312,149.9,WH-North,No
BATCH-0029,Ibuprofen,Analgesic,MediServe,2025-08-15,2026-10-11,276.0,174.0,386,135.85,WH-South,No
BATCH-0030,Amlodipine,Antihypertensive,CardioMed,2025-02-10,2026-09-12,308.0,,320,100.97,WH-East,No
BATCH-0031,Penicillin,Antibiotic,PharmaCorp,2025-05-23,2026-09-18,-1.0,64.0,151,13.84,WH-Central,Yes
BATCH-0032,Aspirin,Analgesic,PharmaCorp,2024-11-14,2026-09-13,315.0,185.0,321,16.62,WH-South,No
BATCH-0033,Ibuprofen,Analgesic,MediServe,2026-01-25,2026-10-01,72.0,110.0,231,40.7,WH-West,No
BATCH-0034,Aspirin,Analgesic,PharmaCorp,2026-01-11,2026-10-01,360.0,199.0,467,140.53,WH-South,No
BATCH-0035,Warfarin,Anticoagulant,BloodCare,2025-05-21,2026-10-04,233.0,151.0,256,48.5,WH-Central,Yes
BATCH-0036,Fluticasone,Corticosteroid,RespiratoryCare,2026-01-25,2026-10-06,231.0,194.0,580,82.96,WH-West,No
BATCH-0037,Lisinopril,Antihypertensive,CardioMed,2025-03-28,2026-09-16,251.0,112.0,230,68.54,WH-West,No
BATCH-0038,Clopidogrel,Antiplatelet,CardioMed,2024-09-30,2026-09-21,360.0,191.0,372,20.02,WH-South,No
BATCH-0039,Lisinopril,Antihypertensive,CardioMed,2025-11-30,2026-09-15,77.0,89.0,169,35.54,WH-Central,No
BATCH-0040,Amoxicillin,Antibiotic,MediServe,2025-07-10,2026-10-03,127.0,114.0,325,18.38,WH-East,No
BATCH-0041,Cetirizine,Antihistamine,AllergyCare,2026-07-20,2027-03-02,116.0,83.0,203,28.43,WH-East,No
BATCH-0042,Atorvastatin,Cholesterol,CardioMed,2026-11-10,2027-05-18,194.0,88.0,204,58.54,WH-West,No
BATCH-0043,Penicillin,Antibiotic,PharmaCorp,2026-07-14,2027-05-20,163.0,143.0,407,135.34,WH-South,Yes
BATCH-0044,Warfarin,Anticoagulant,BloodCare,2026-05-07,2027-02-16,401.0,193.0,545,146.21,WH-South,Yes
BATCH-0045,Fluticasone,Corticosteroid,RespiratoryCare,2026-03-01,2027-02-10,275.0,95.0,268,31.01,WH-Central,No
BATCH-0046,Metoprolol,Beta-blocker,CardioMed,2026-03-02,2027-05-10,81.0,77.0,159,129.5,WH-South,No
BATCH-0047,Amoxicillin,Antibiotic,MediServe,2025-12-13,2027-06-04,192.0,108.0,198,33.0,WH-Central,No
BATCH-0048,Lisinopril,Antihypertensive,CardioMed,2025-08-08,2026-11-16,317.0,180.0,377,53.02,WH-North,No
BATCH-0049,Ibuprofen,Analgesic,MediServe,2026-02-25,2027-02-22,172.0,117.0,182,55.12,WH-Central,No
BATCH-0050,Amlodipine,Antihypertensive,CardioMed,2025-09-14,2027-08-18,208.0,197.0,351,107.77,WH-North,No
BATCH-0051,Atorvastatin,Cholesterol,CardioMed,2026-06-28,2027-07-14,151.0,67.0,195,95.36,WH-North,No
BATCH-0052,Clopidogrel,Antiplatelet,CardioMed,2025-04-14,2027-03-14,229.0,154.0,306,85.39,WH-South,No
BATCH-0053,Amlodipine,Antihypertensive,CardioMed,2026-05-01,2027-04-24,106.0,127.0,267,5.06,WH-Central,No
BATCH-0054,Amoxicillin,Antibiotic,MediServe,2025-12-27,2027-05-20,293.0,163.0,409,73.61,WH-South,No
BATCH-0055,Warfarin,Anticoagulant,BloodCare,2025-08-11,2026-11-24,165.0,135.0,221,102.56,WH-South,Yes
BATCH-0056,Metoprolol,Beta-blocker,CardioMed,2026-02-25,2027-01-21,268.0,112.0,333,128.21,WH-North,No
BATCH-0057,Omeprazole,Gastric,GutHealth,2026-04-28,2027-05-12,62.0,148.0,331,26.4,WH-North,No
BATCH-0058,Fluticasone,Corticosteroid,RespiratoryCare,2025-03-30,2026-12-05,324.0,182.0,399,41.13,WH-North,No
BATCH-0059,Omeprazole,Gastric,GutHealth,2025-03-04,2026-12-19,113.0,193.0,461,93.83,WH-West,No
BATCH-0060,Amlodipine,Antihypertensive,CardioMed,2025-10-21,2027-07-19,435.0,171.0,371,126.78,WH-Central,No
BATCH-0061,Metoprolol,Beta-blocker,CardioMed,2025-08-28,2027-07-05,91.0,120.0,259,46.43,WH-Central,No
BATCH-0062,Metformin,Antidiabetic,DiabetesCare,2026-07-05,2027-03-24,128.0,109.0,226,107.43,WH-North,No
BATCH-0063,Amlodipine,Antihypertensive,CardioMed,2025-12-06,2027-05-08,209.0,156.0,248,61.47,WH-West,No
BATCH-0064,Clopidogrel,Antiplatelet,CardioMed,2025-04-01,,239.0,140.0,272,128.75,WH-East,No
BATCH-0065,Atorvastatin,Cholesterol,CardioMed,2026-06-08,2027-07-18,126.0,119.0,256,61.38,WH-East,No
BATCH-0066,Clopidogrel,Antiplatelet,CardioMed,2025-03-17,2027-01-04,387.0,186.0,286,90.82,WH-North,No
BATCH-0067,Ibuprofen,Analgesic,MediServe,2025-12-27,2027-09-06,594.0,168.0,297,59.97,WH-South,No
BATCH-0068,Omeprazole,Gastric,GutHealth,2025-10-19,2027-03-28,107.0,147.0,281,41.58,WH-North,No
BATCH-0069,Omeprazole,Gastric,GutHealth,2026-03-02,2026-10-21,264.0,139.0,255,118.28,WH-North,No
BATCH-0070,Metoprolol,Beta-blocker,CardioMed,2025-08-20,2026-10-27,85.0,55.0,133,23.3,WH-North,No
BATCH-0071,Levothyroxine,Thyroid,Endocare,2025-04-15,2027-01-31,29.0,144.0,252,117.78,WH-South,No
BATCH-0072,Lisinopril,Antihypertensive,CardioMed,2026-05-14,2026-12-06,,197.0,495,59.42,WH-South,No
BATCH-0073,Ibuprofen,Analgesic,MediServe,2026-06-09,2027-08-11,280.0,127.0,352,121.8,WH-West,No
BATCH-0074,Metoprolol,Beta-blocker,CardioMed,2025-05-16,2026-11-02,226.0,144.0,230,54.48,WH-East,No
BATCH-0075,Cetirizine,Antihistamine,AllergyCare,2026-09-04,2027-06-19,259.0,142.0,348,107.56,WH-East,No
BATCH-0076,Penicillin,Antibiotic,PharmaCorp,2026-04-06,2027-07-06,119.0,187.0,497,68.16,WH-West,Yes
BATCH-0077,Lisinopril,Antihypertensive,CardioMed,2026-01-19,2027-03-26,57.0,72.0,138,40.36,WH-East,No
BATCH-0078,Levothyroxine,Thyroid,Endocare,2026-01-29,2027-08-20,269.0,176.0,488,75.69,WH-Central,No
BATCH-0079,Metoprolol,Beta-blocker,CardioMed,2025-09-11,2027-02-21,252.0,120.0,280,142.47,WH-North,No
BATCH-0080,Amoxicillin,Antibiotic,MediServe,2025-06-27,2027-05-08,276.0,111.0,281,108.22,WH-East,No
BATCH-0081,Metoprolol,Beta-blocker,CardioMed,2026-01-18,2026-10-20,231.0,153.0,388,101.27,WH-Central,No
BATCH-0082,Omeprazole,Gastric,GutHealth,2025-07-29,2027-07-22,369.0,190.0,379,70.79,WH-Central,No
BATCH-0083,Lisinopril,Antihypertensive,CardioMed,2026-04-10,2027-02-07,47.0,130.0,218,32.77,WH-East,No
BATCH-0084,Lisinopril,Antihypertensive,CardioMed,2025-08-22,2027-08-09,150.0,75.0,206,37.99,WH-South,No
BATCH-0085,Lisinopril,Antihypertensive,CardioMed,2024-10-23,2026-10-19,131.0,61.0,180,47.36,WH-South,No
BATCH-0086,Warfarin,Anticoagulant,BloodCare,2026-09-08,2027-06-20,500.0,196.0,377,68.87,WH-South,Yes
BATCH-0087,Aspirin,Analgesic,PharmaCorp,2025-04-20,2027-02-18,75.0,66.0,138,88.67,WH-North,No
BATCH-0088,Penicillin,Antibiotic,PharmaCorp,2025-08-23,2026-12-27,166.0,113.0,189,92.92,WH-West,Yes
BATCH-0089,Amoxicillin,Antibiotic,MediServe,2025-12-14,2027-07-06,313.0,163.0,317,148.55,WH-Central,No
BATCH-0090,Levothyroxine,Thyroid,Endocare,2026-12-27,2027-08-25,26.0,75.0,219,95.7,WH-Central,No
BATCH-0091,Warfarin,Anticoagulant,BloodCare,2025-12-17,2026-11-22,191.0,191.0,308,64.24,WH-West,Yes
BATCH-0092,Omeprazole,Gastric,GutHealth,2026-08-09,2027-03-10,238.0,122.0,311,15.32,WH-South,No
BATCH-0093,Fluticasone,Corticosteroid,RespiratoryCare,2026-02-07,2027-02-24,227.0,189.0,347,136.72,WH-South,No
BATCH-0094,Ibuprofen,Analgesic,MediServe,2025-11-27,2026-11-11,112.0,195.0,561,23.03,WH-Central,No
BATCH-0095,Clopidogrel,Antiplatelet,CardioMed,2026-02-02,2027-05-06,329.0,176.0,379,10.78,WH-East,No
BATCH-0096,Clopidogrel,Antiplatelet,CardioMed,2026-01-14,2027-03-26,255.0,108.0,317,90.13,WH-North,No
BATCH-0097,Metoprolol,Beta-blocker,CardioMed,2026-07-20,2027-02-26,83.0,94.0,207,69.12,WH-Central,No
BATCH-0098,Penicillin,Antibiotic,PharmaCorp,2025-11-19,2027-08-07,120.0,175.0,516,55.45,WH-Central,Yes
BATCH-0099,Metformin,Antidiabetic,DiabetesCare,2025-12-25,2026-12-04,278.0,176.0,340,122.97,WH-West,No
BATCH-0100,Aspirin,Analgesic,PharmaCorp,2026-09-04,2027-06-01,183.0,132.0,220,130.41,WH-North,No
BATCH-0101,Warfarin,Anticoagulant,BloodCare,2025-10-01,2027-07-16,177.0,98.0,223,114.68,WH-East,Yes
BATCH-0102,Metoprolol,Beta-blocker,CardioMed,2025-10-15,2026-11-07,195.0,83.0,239,132.72,WH-East,No
BATCH-0103,Ibuprofen,Analgesic,MediServe,2025-08-27,2026-10-26,104.0,129.0,300,18.52,WH-North,No
BATCH-0104,Omeprazole,Gastric,GutHealth,2026-01-08,2026-12-11,193.0,124.0,280,65.25,WH-East,No
BATCH-0105,Omeprazole,Gastric,GutHealth,2025-05-07,2027-02-13,224.0,148.0,264,78.69,WH-South,No
BATCH-0106,Cetirizine,Antihistamine,AllergyCare,2025-08-11,2026-11-16,129.0,156.0,313,43.74,WH-North,No
BATCH-0107,Lisinopril,Antihypertensive,CardioMed,2025-05-01,2027-03-13,467.0,164.0,378,53.2,WH-West,No
BATCH-0108,Amlodipine,Antihypertensive,CardioMed,2026-01-09,2027-06-02,321.0,111.0,261,129.12,WH-East,No
BATCH-0109,Aspirin,Analgesic,PharmaCorp,2025-05-28,2027-03-23,38.0,147.0,305,76.82,WH-North,No
BATCH-0110,Penicillin,Antibiotic,PharmaCorp,2026-01-23,2027-06-26,384.0,162.0,267,7.23,WH-South,Yes
BATCH-0111,Amlodipine,Antihypertensive,CardioMed,2026-04-18,2026-12-30,205.0,117.0,234,62.64,WH-North,No
BATCH-0112,Cetirizine,Antihistamine,AllergyCare,2025-04-02,2027-03-29,255.0,131.0,319,131.5,WH-North,No
BATCH-0113,Levothyroxine,Thyroid,Endocare,2025-09-22,2026-11-16,95.0,123.0,368,18.11,WH-North,No
BATCH-0114,Metoprolol,Beta-blocker,CardioMed,2026-11-23,2027-09-01,137.0,126.0,359,52.03,WH-North,No
BATCH-0115,Lisinopril,Antihypertensive,CardioMed,2025-09-27,2027-04-13,256.0,112.0,257,103.86,WH-South,No
BATCH-0116,Penicillin,Antibiotic,PharmaCorp,2026-04-24,2027-01-09,61.0,147.0,357,77.16,WH-West,Yes
BATCH-0117,Penicillin,Antibiotic,PharmaCorp,2025-04-26,2027-02-07,2.0,167.0,314,135.34,WH-East,Yes
BATCH-0118,Fluticasone,Corticosteroid,RespiratoryCare,2026-04-01,2027-03-08,291.0,138.0,411,97.65,WH-East,No
BATCH-0119,Clopidogrel,Antiplatelet,CardioMed,2025-05-11,2027-02-17,61.0,100.0,299,20.46,WH-East,No
BATCH-0120,Levothyroxine,Thyroid,Endocare,2025-12-17,2027-04-13,276.0,125.0,191,62.39,WH-North,No
BATCH-0121,Levothyroxine,Thyroid,Endocare,2024-12-18,2026-11-06,29.0,123.0,327,93.02,WH-Central,No
BATCH-0122,Amoxicillin,Antibiotic,MediServe,2026-08-24,2027-09-02,80.0,85.0,207,98.72,WH-Central,No
BATCH-0123,Metoprolol,Beta-blocker,CardioMed,2026-10-23,2027-05-25,101.0,83.0,135,52.37,WH-East,No
BATCH-0124,Penicillin,Antibiotic,PharmaCorp,2026-03-13,2027-01-22,69.0,143.0,328,125.42,WH-Central,Yes
BATCH-0125,Fluticasone,Corticosteroid,RespiratoryCare,2026-02-18,2027-06-15,119.0,136.0,368,144.62,WH-South,No
BATCH-0126,Metoprolol,Beta-blocker,CardioMed,2025-06-28,2027-02-04,495.0,192.0,393,7.02,WH-West,No
BATCH-0127,Ibuprofen,Analgesic,MediServe,2025-11-21,2027-06-01,105.0,117.0,278,97.59,WH-Central,No
BATCH-0128,Ibuprofen,Analgesic,MediServe,2025-04-17,2027-02-08,349.0,193.0,384,37.1,WH-North,No
BATCH-0129,Warfarin,Anticoagulant,BloodCare,2026-02-02,2027-06-06,4.0,79.0,135,49.13,WH-East,Yes
BATCH-0130,Ibuprofen,Analgesic,MediServe,2025-10-06,2026-11-30,222.0,84.0,174,102.22,WH-West,No
BATCH-0131,Amlodipine,Antihypertensive,CardioMed,2026-09-04,2027-08-08,285.0,75.0,206,64.18,WH-Central,No
BATCH-0132,Aspirin,Analgesic,PharmaCorp,2026-03-13,2027-04-19,135.0,110.0,306,147.23,WH-Central,No
BATCH-0133,Atorvastatin,Cholesterol,CardioMed,2026-03-09,2027-09-07,135.0,120.0,214,142.61,WH-East,No
BATCH-0134,Ibuprofen,Analgesic,MediServe,2026-07-11,2027-01-28,151.0,135.0,251,119.11,WH-South,No
BATCH-0135,Ibuprofen,Analgesic,MediServe,2026-06-25,2027-07-22,127.0,109.0,217,119.35,WH-West,No
BATCH-0136,Aspirin,Analgesic,PharmaCorp,2026-04-08,2027-03-02,397.0,188.0,352,20.94,WH-North,No
BATCH-0137,Penicillin,Antibiotic,PharmaCorp,2025-04-21,2026-10-19,2.0,110.0,262,30.27,WH-North,Yes
BATCH-0138,Penicillin,Antibiotic,PharmaCorp,2025-05-27,2027-05-15,112.0,66.0,146,79.42,WH-North,Yes
BATCH-0139,Omeprazole,Gastric,GutHealth,2026-05-16,2027-06-26,225.0,61.0,158,48.74,WH-North,No
BATCH-0140,Aspirin,Analgesic,PharmaCorp,2025-10-31,2027-06-14,133.0,77.0,172,15.66,WH-North,No
BATCH-0141,Metformin,Antidiabetic,DiabetesCare,2026-09-22,2027-08-19,269.0,120.0,292,84.51,WH-Central,No
BATCH-0142,Amlodipine,Antihypertensive,CardioMed,2025-08-20,2027-08-13,204.0,179.0,431,120.0,WH-North,No
BATCH-0143,Cetirizine,Antihistamine,AllergyCare,2026-08-06,2027-09-10,213.0,108.0,229,70.76,WH-East,No
BATCH-0144,Clopidogrel,Antiplatelet,CardioMed,2025-07-17,2026-11-29,-34.0,115.0,237,104.59,WH-East,No
BATCH-0145,Ibuprofen,Analgesic,MediServe,2026-03-05,2026-11-27,121.0,74.0,193,122.71,WH-West,No
BATCH-0146,Aspirin,Analgesic,PharmaCorp,2026-03-09,2027-08-08,108.0,155.0,314,130.87,WH-North,No
BATCH-0147,Lisinopril,Antihypertensive,CardioMed,2026-04-03,2027-08-15,236.0,197.0,445,100.23,WH-South,No
BATCH-0148,Cetirizine,Antihistamine,AllergyCare,2025-06-16,2026-12-06,71.0,144.0,240,88.24,WH-East,No
BATCH-0149,Cetirizine,Antihistamine,AllergyCare,2027-01-01,2027-07-26,34.0,118.0,182,106.89,WH-Central,No
BATCH-0150,Fluticasone,Corticosteroid,RespiratoryCare,2025-10-11,2027-04-03,137.0,86.0,202,15.09,WH-North,No
BATCH-0151,Ibuprofen,Analgesic,MediServe,2026-06-05,2027-07-10,260.0,166.0,333,50.19,WH-Central,No
BATCH-0152,Metoprolol,Beta-blocker,CardioMed,2026-11-05,2027-07-29,161.0,89.0,154,102.73,WH-Central,No
BATCH-0153,Omeprazole,Gastric,GutHealth,2025-07-09,2027-05-17,131.0,156.0,297,21.5,WH-East,No
BATCH-0154,Ibuprofen,Analgesic,MediServe,2025-04-27,2027-03-06,178.0,128.0,200,147.74,WH-North,No
BATCH-0155,Aspirin,Analgesic,PharmaCorp,2025-09-23,2027-01-24,262.0,85.0,224,52.58,WH-North,No
BATCH-0156,Omeprazole,Gastric,GutHealth,2026-05-26,2027-05-20,442.0,186.0,475,86.01,WH-Central,No
BATCH-0157,Ibuprofen,Analgesic,MediServe,2026-09-22,2027-05-03,327.0,167.0,481,88.49,WH-West,No
BATCH-0158,Amlodipine,Antihypertensive,CardioMed,2026-01-05,2027-09-04,194.0,153.0,234,29.92,WH-West,No
BATCH-0159,Omeprazole,Gastric,GutHealth,2026-07-19,2027-04-15,128.0,77.0,143,80.97,WH-East,No
BATCH-0160,Cetirizine,Antihistamine,AllergyCare,2025-10-08,2027-03-19,133.0,93.0,150,21.53,WH-West,No
BATCH-0161,Amoxicillin,Antibiotic,MediServe,2025-10-16,2027-04-08,18.0,87.0,161,42.12,WH-South,No
BATCH-0162,Levothyroxine,Thyroid,Endocare,2026-04-16,2026-12-29,320.0,176.0,386,115.18,WH-East,No
BATCH-0163,Warfarin,Anticoagulant,BloodCare,2026-03-05,2027-07-28,233.0,130.0,224,72.99,WH-Central,Yes
BATCH-0164,Metoprolol,Beta-blocker,CardioMed,2026-07-07,2027-03-01,125.0,68.0,133,10.45,WH-Central,No
BATCH-0165,Cetirizine,Antihistamine,AllergyCare,2026-06-22,2027-03-07,64.0,73.0,176,60.75,WH-West,No
BATCH-0166,Atorvastatin,Cholesterol,CardioMed,2025-01-31,2026-11-02,568.0,196.0,485,92.73,WH-West,No
BATCH-0167,Penicillin,Antibiotic,PharmaCorp,2025-02-09,2026-11-12,180.0,,407,78.16,WH-South,Yes
BATCH-0168,Aspirin,Analgesic,PharmaCorp,2025-05-28,2027-02-15,461.0,184.0,420,57.77,WH-Central,No
BATCH-0169,Amlodipine,Antihypertensive,CardioMed,2025-11-29,2027-05-09,41.0,63.0,169,53.52,WH-Central,No
BATCH-0170,Ibuprofen,Analgesic,MediServe,2025-12-26,2027-07-24,162.0,88.0,176,101.22,WH-Central,No
BATCH-0171,Lisinopril,Antihypertensive,CardioMed,2026-06-22,2027-04-30,119.0,71.0,139,98.31,WH-Central,No
BATCH-0172,Cetirizine,Antihistamine,AllergyCare,2024-12-27,2026-12-16,162.0,158.0,357,57.58,WH-South,No
BATCH-0173,Amoxicillin,Antibiotic,MediServe,2025-05-27,2027-04-04,103.0,85.0,147,127.44,WH-North,No
BATCH-0174,Atorvastatin,Cholesterol,CardioMed,2025-07-26,2027-07-15,294.0,136.0,382,24.0,WH-East,No
BATCH-0175,Penicillin,Antibiotic,PharmaCorp,2026-01-03,2027-01-03,5.0,92.0,237,64.57,WH-South,Yes
BATCH-0176,Omeprazole,Gastric,GutHealth,2026-05-06,2027-08-20,61.0,164.0,303,49.87,WH-East,No
BATCH-0177,Fluticasone,Corticosteroid,RespiratoryCare,2025-07-12,2027-01-19,118.0,196.0,583,116.57,WH-East,No
BATCH-0178,Atorvastatin,Cholesterol,CardioMed,2025-11-08,2027-07-09,308.0,101.0,272,131.59,WH-North,No
BATCH-0179,Warfarin,Anticoagulant,BloodCare,2025-12-02,2027-06-15,142.0,76.0,195,128.42,WH-Central,Yes
BATCH-0180,Ibuprofen,Analgesic,MediServe,2025-09-30,2027-01-02,292.0,181.0,311,18.3,WH-South,No
BATCH-0181,Cetirizine,Antihistamine,AllergyCare,2025-10-09,2027-03-30,492.0,156.0,246,59.22,WH-East,No
BATCH-0182,Ibuprofen,Analgesic,MediServe,2026-01-06,2027-02-19,160.0,75.0,206,119.75,WH-South,No
BATCH-0183,Aspirin,Analgesic,PharmaCorp,2025-03-13,2027-01-05,60.0,85.0,224,70.05,WH-North,No
BATCH-0184,Fluticasone,Corticosteroid,RespiratoryCare,2026-03-06,2026-09-21,181.0,88.0,204,93.29,WH-East,No
BATCH-0185,Ibuprofen,Analgesic,MediServe,2025-11-09,2027-01-06,102.0,62.0,115,120.12,WH-East,No
BATCH-0186,Ibuprofen,Analgesic,MediServe,2024-11-15,2026-10-07,127.0,54.0,132,40.08,WH-South,No
BATCH-0187,Lisinopril,Antihypertensive,CardioMed,2026-09-19,2027-03-19,23.0,111.0,261,101.33,WH-North,No
BATCH-0188,Atorvastatin,Cholesterol,CardioMed,2026-06-08,2027-02-12,557.0,189.0,427,85.35,WH-East,No
BATCH-0189,Cetirizine,Antihistamine,AllergyCare,2026-08-28,2027-04-09,4.0,145.0,272,56.78,WH-North,No
BATCH-0190,Metformin,Antidiabetic,DiabetesCare,2026-03-02,2026-12-13,90.0,135.0,229,84.17,WH-South,No
BATCH-0191,Cetirizine,Antihistamine,AllergyCare,2025-06-05,2027-04-06,58.0,84.0,133,10.36,WH-South,No
BATCH-0192,Aspirin,Analgesic,PharmaCorp,2026-04-14,2026-11-22,268.0,129.0,293,73.64,WH-North,No
BATCH-0193,Metoprolol,Beta-blocker,CardioMed,2025-08-02,2026-11-17,104.0,62.0,173,44.62,WH-Central,No
BATCH-0194,Amlodipine,Antihypertensive,CardioMed,2025-06-12,2027-03-04,345.0,148.0,297,76.95,WH-East,No
BATCH-0195,Metformin,Antidiabetic,DiabetesCare,2026-02-05,2027-05-04,154.0,158.0,255,149.29,WH-South,No
BATCH-0196,Atorvastatin,Cholesterol,CardioMed,2025-08-19,2027-01-09,211.0,133.0,331,69.66,WH-East,No
BATCH-0197,Penicillin,Antibiotic,PharmaCorp,2025-10-04,2027-03-27,251.0,140.0,339,44.81,WH-North,Yes
BATCH-0198,Ibuprofen,Analgesic,MediServe,2025-11-16,2027-07-04,126.0,90.0,263,128.06,WH-East,No
BATCH-0199,Aspirin,Analgesic,PharmaCorp,2026-02-09,2026-10-15,288.0,143.0,292,9.7,WH-South,No
BATCH-0200,Warfarin,Anticoagulant,BloodCare,2025-09-17,2027-03-30,136.0,69.0,162,58.21,WH-Central,Yes
DUP-BATCH-0001,Warfarin,Anticoagulant,BloodCare,2026-02-10,2026-09-03,94.0,112.0,205,19.86,WH-West,Yes
DUP-BATCH-0002,Ibuprofen,Analgesic,MediServe,2024-11-30,2026-08-04,105.0,73.0,133,92.29,WH-West,No
DUP-BATCH-0003,Amoxicillin,Antibiotic,MediServe,2024-11-25,2026-07-27,201.0,200.0,383,115.03,WH-South,No
INVALID-DUP-BATCH-0003,Amoxicillin,Antibiotic,MediServe,2024-11-25,2026-13-45,201.0,200.0,383,115.03,WH-South,No
INVALID-DUP-BATCH-0002,Ibuprofen,Analgesic,MediServe,invalid-date,2026-08-04,105.0,73.0,133,92.29,WH-West,No
